,clip_id,mp3_path,track_number,title,artist,album,url,segmentStart,segmentEnd,original_url
3,11.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/american_bach_soloists-j_s__bach_solo_cantatas-01-bwv54__i_aria-291-320.mp3,1.0,BWV54 - I Aria,American Bach Soloists,J.S. Bach Solo Cantatas,http://www.magnatune.com/artists/albums/abs-solocantatas/,291.0,320.0,http://he3.magnatune.com/all/01--BWV54%20-%20I%20Aria--ABS.mp3
12,33.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/steven_devine-portrait_of_an_english_harpsichord-01-lesson_1_in_g_major_prelude_james_nares-30-59.mp3,1.0,Lesson 1 in G Major_ Prelude (James Nares),Steven Devine,Portrait of an English Harpsichord,http://www.magnatune.com/artists/albums/sdevine-portrait/,30.0,59.0,http://he3.magnatune.com/all/01--Lesson%201%20in%20G%20Major_%20Prelude%20(James%20Nares)--Steven%20Devine.mp3
22,51.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-349-378.mp3,1.0,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,349.0,378.0,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
30,67.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-813-842.mp3,1.0,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,813.0,842.0,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
34,76.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1074-1103.mp3,1.0,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,1074.0,1103.0,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
36,79.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/9/american_bach_soloists-heinrich_schutz__musicalische_exequien-01-musicalische_exequien_swv_279_teil_i_concert_in_form_einer_teutschen_begrabnismissa-1161-1190.mp3,1.0,Musicalische Exequien SWV 279 Teil I_ Concert in Form einer teutschen Begrabnis-Missa,American Bach Soloists,Heinrich Schutz - Musicalische Exequien,http://www.magnatune.com/artists/albums/abs-heinrich/,1161.0,1190.0,http://he3.magnatune.com/all/01--Musicalische%20Exequien%20SWV%20279%20Teil%20I_%20Concert%20in%20Form%20einer%20teutschen%20Begrabnis-Missa--ABS.mp3
46,94.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/ralph_meulenbroeks-gambomania-01-my_mistress_hath_a_pritty_thing_tobias_hume-175-204.mp3,1.0,My mistress hath a pritty thing (Tobias Hume),Ralph Meulenbroeks,Gambomania,http://www.magnatune.com/artists/albums/meulenbroeks-gambomania/,175.0,204.0,http://he3.magnatune.com/all/01--My%20mistress%20hath%20a%20pritty%20thing%20(Tobias%20Hume)--Ralph%20Meulenbroeks.mp3
66,134.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/williamson-a_few_things_to_hear_before_we_all_blow_up-01-2_percent_er-117-146.mp3,1.0,2 percent er,Williamson,A few things to hear before we all blow up,http://www.magnatune.com/artists/albums/williamson-afew/,117.0,146.0,http://he3.magnatune.com/all/01-2%20percent%20er-Williamson.mp3
75,150.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-378-407.mp3,1.0,3 Almaines (Holborne),New York Consort of Viols,Dances and Canzonas of Holborne and Brade,http://www.magnatune.com/artists/albums/nyconsort-holborne/,378.0,407.0,http://he3.magnatune.com/all/01-3%20Almaines%20(Holborne)-New%20York%20Consort%20of%20Viols.mp3
76,151.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/new_york_consort_of_viols-dances_and_canzonas_of_holborne_and_brade-01-3_almaines_holborne-407-436.mp3,1.0,3 Almaines (Holborne),New York Consort of Viols,Dances and Canzonas of Holborne and Brade,http://www.magnatune.com/artists/albums/nyconsort-holborne/,407.0,436.0,http://he3.magnatune.com/all/01-3%20Almaines%20(Holborne)-New%20York%20Consort%20of%20Viols.mp3
86,170.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/6/mercy_machine-the_devil_i_know-01-30_years-262-291.mp3,1.0,30 Years,Mercy Machine,The Devil I Know,http://www.magnatune.com/artists/albums/mercy-devil/,262.0,291.0,http://he3.magnatune.com/all/01-30%20Years-Mercy%20Machine.mp3
89,173.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-59-88.mp3,1.0,4 O'Clock Sunny And Hot,Liquid Zen,Magic Midsummer,http://www.magnatune.com/artists/albums/liquid-magic/,59.0,88.0,http://he3.magnatune.com/all/01-4%20O'Clock%20Sunny%20And%20Hot%20-%20Liquid%20Zen.mp3
90,174.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/a/liquid_zen-magic_midsummer-01-4_oclock_sunny_and_hot-88-117.mp3,1.0,4 O'Clock Sunny And Hot,Liquid Zen,Magic Midsummer,http://www.magnatune.com/artists/albums/liquid-magic/,88.0,117.0,http://he3.magnatune.com/all/01-4%20O'Clock%20Sunny%20And%20Hot%20-%20Liquid%20Zen.mp3
92,177.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/burning_babylon-stereo_mash_up-01-7_nine_skank-59-88.mp3,1.0,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,59.0,88.0,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
95,181.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/e/burning_babylon-stereo_mash_up-01-7_nine_skank-175-204.mp3,1.0,7 Nine Skank,Burning Babylon,Stereo Mash Up,http://www.magnatune.com/artists/albums/babylon-stereo/,175.0,204.0,http://he3.magnatune.com/all/01-7%20Nine%20Skank-Burning%20Babylon.mp3
96,184.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/pain_factor-8_seconds-01-8_seconds-59-88.mp3,1.0,8 seconds,Pain Factor,8 Seconds,http://www.magnatune.com/artists/albums/pfactor-8seconds/,59.0,88.0,http://he3.magnatune.com/all/01-8%20seconds-Pain%20Factor.mp3
99,188.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/pain_factor-8_seconds-01-8_seconds-175-204.mp3,1.0,8 seconds,Pain Factor,8 Seconds,http://www.magnatune.com/artists/albums/pfactor-8seconds/,175.0,204.0,http://he3.magnatune.com/all/01-8%20seconds-Pain%20Factor.mp3
107,204.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/f/professor_armchair-too_much_mustard-01-a_signal_from_mars-0-29.mp3,1.0,A Signal from Mars,Professor Armchair,Too Much Mustard,http://www.magnatune.com/artists/albums/armchair-octopants/,0.0,29.0,http://he3.magnatune.com/all/01-A%20Signal%20from%20Mars-Professor%20Armchair.mp3
115,224.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/d/electric_frankenstein-sick_songs-01-action_high-117-146.mp3,1.0,Action High,Electric Frankenstein,Sick Songs,http://www.magnatune.com/artists/albums/elecfrank-sicksongs/,117.0,146.0,http://he3.magnatune.com/all/01-Action%20High-Electric%20Frankenstein.mp3
124,244.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-59-88.mp3,1.0,Air on a G string (BWV 1069),Voices of Music,An Evening With Bach,http://www.magnatune.com/artists/albums/voicesofmusic-bach/,59.0,88.0,http://he3.magnatune.com/all/01-Air%20on%20a%20G%20string%20(BWV%201069)-Voices%20of%20Music.mp3
125,246.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-117-146.mp3,1.0,Air on a G string (BWV 1069),Voices of Music,An Evening With Bach,http://www.magnatune.com/artists/albums/voicesofmusic-bach/,117.0,146.0,http://he3.magnatune.com/all/01-Air%20on%20a%20G%20string%20(BWV%201069)-Voices%20of%20Music.mp3
126,248.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/0/voices_of_music-an_evening_with_bach-01-air_on_a_g_string_bwv_1069-175-204.mp3,1.0,Air on a G string (BWV 1069),Voices of Music,An Evening With Bach,http://www.magnatune.com/artists/albums/voicesofmusic-bach/,175.0,204.0,http://he3.magnatune.com/all/01-Air%20on%20a%20G%20string%20(BWV%201069)-Voices%20of%20Music.mp3
130,283.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/5/john_fleagle-worlds_bliss__medieval_songs_of_love_and_death-01-alysoun-0-29.mp3,1.0,Alysoun,John Fleagle,Worlds Bliss - Medieval Songs of Love and Death,http://www.magnatune.com/artists/albums/fleagle-bliss/,0.0,29.0,http://he3.magnatune.com/all/01-Alysoun-John%20Fleagle.mp3
156,329.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/2/duo_chambure-vihuela_duets_of_valderrabano-01-andreas_christi_sancte_andrea_cristobal_de_morales-88-117.mp3,1.0,Andreas Christi Sancte Andrea (Cristobal de Morales),Duo Chambure,Vihuela Duets of Valderrabano,http://www.magnatune.com/artists/albums/chambure-valderrabano/,88.0,117.0,http://he3.magnatune.com/all/01-Andreas%20Christi%20Sancte%20Andrea%20(Cristobal%20de%20Morales)-Duo%20Chambure.mp3
157,333.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/paul_avgerinos-sky_of_grace-01-angels_breath-59-88.mp3,1.0,Angel's Breath,Paul Avgerinos,Sky Of Grace,http://www.magnatune.com/artists/albums/avgerinos-skygrace/,59.0,88.0,http://he3.magnatune.com/all/01-Angel's%20Breath-Paul%20Avgerinos.mp3
163,352.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/4/justin_bianco-siren-01-another_century-117-146.mp3,1.0,Another Century,Justin Bianco,Siren,http://www.magnatune.com/artists/albums/bianco-siren/,117.0,146.0,http://he3.magnatune.com/all/01-Another%20Century-Justin%20Bianco.mp3
177,392.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/8/kenji_williams-worldspirit_soundtrack-01-artists_prayer-233-262.mp3,1.0,Artist's Prayer,Kenji Williams,Worldspirit Soundtrack,http://www.magnatune.com/artists/albums/kenji-worldspirit/,233.0,262.0,http://he3.magnatune.com/all/01-Artist's%20Prayer-Kenji%20Williams.mp3
188,422.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/satori-journey_to_other_worlds-01-astral_flight-59-88.mp3,1.0,Astral Flight,Satori,Journey to Other Worlds,http://www.magnatune.com/artists/albums/satori-journey/,59.0,88.0,http://he3.magnatune.com/all/01-Astral%20Flight-Satori.mp3
194,429.0,D:/Research/Data/MIR/MagnaTagATune/mp3_full/b/satori-journey_to_other_worlds-01-astral_flight-262-291.mp3,1.0,Astral Flight,Satori,Journey to Other Worlds,http://www.magnatune.com/artists/albums/satori-journey/,262.0,291.0,http://he3.magnatune.com/all/01-Astral%20Flight-Satori.mp3
